epoch, train loss, train source loss, train synth loss, train BYOL loss, val loss source, train acc, train acc synth, val acc source, test target acc, miou, miou target, learning rate, scale 
0, 0.78207, 0.77874, 0.86222, -0.07681, 0.49519, 0.77845, 0.74820, 0.85953, 0.84666, 0.32285, 0.28472, 0.00100
1, 0.49451, 0.49382, 0.57694, -0.08174, 0.38530, 0.84991, 0.82149, 0.88304, 0.86134, 0.39659, 0.34111, 0.00099
2, 0.43343, 0.43430, 0.51678, -0.08422, 0.36441, 0.86567, 0.83760, 0.88760, 0.87256, 0.42360, 0.37627, 0.00098
3, 0.39975, 0.40100, 0.48415, -0.08565, 0.33872, 0.87474, 0.84660, 0.89542, 0.87718, 0.47983, 0.43731, 0.00097
4, 0.37593, 0.37840, 0.46020, -0.08675, 0.32451, 0.88099, 0.85323, 0.89898, 0.87565, 0.48456, 0.44971, 0.00096
5, 0.35697, 0.36020, 0.44139, -0.08766, 0.32387, 0.88661, 0.85892, 0.89856, 0.87710, 0.49315, 0.45677, 0.00095
6, 0.34195, 0.34611, 0.42616, -0.08837, 0.31615, 0.89050, 0.86305, 0.90214, 0.88455, 0.49915, 0.46240, 0.00095
7, 0.32763, 0.33286, 0.41143, -0.08903, 0.28796, 0.89463, 0.86764, 0.90899, 0.88704, 0.52084, 0.47298, 0.00094
8, 0.31791, 0.32458, 0.40076, -0.08953, 0.30747, 0.89684, 0.87120, 0.90261, 0.88883, 0.51547, 0.47689, 0.00093
9, 0.30839, 0.31310, 0.39358, -0.08990, 0.28329, 0.90029, 0.87356, 0.90935, 0.89033, 0.52516, 0.49293, 0.00092
10, 0.30215, 0.30789, 0.38663, -0.09022, 0.28289, 0.90199, 0.87559, 0.90924, 0.90046, 0.53207, 0.51567, 0.00091
11, 0.29366, 0.30033, 0.37758, -0.09059, 0.26658, 0.90401, 0.87826, 0.91432, 0.90316, 0.54644, 0.51189, 0.00090
12, 0.28846, 0.29436, 0.37345, -0.09090, 0.28473, 0.90560, 0.87947, 0.90923, 0.89903, 0.54409, 0.52771, 0.00089
13, 0.28353, 0.29036, 0.36787, -0.09118, 0.26785, 0.90700, 0.88148, 0.91383, 0.89744, 0.56120, 0.53358, 0.00088
