epoch, train loss, train source loss, train synth loss, train BYOL loss, val loss source, train acc, train acc synth, val acc source, test target acc, miou, miou target, learning rate, scale 
0, 0.66425, 0.62550, 0.79732, -0.09432, 0.43477, 0.82044, 0.75101, 0.86935, 0.54719, 0.36098, 0.15648, 0.00100
1, 0.45653, 0.41851, 0.59025, -0.09570, 0.34251, 0.87088, 0.80557, 0.89302, 0.58005, 0.44484, 0.18793, 0.00099
2, 0.40818, 0.37008, 0.54242, -0.09613, 0.32213, 0.88419, 0.81950, 0.89883, 0.62292, 0.47378, 0.22454, 0.00098
3, 0.37342, 0.33782, 0.50547, -0.09644, 0.29637, 0.89365, 0.83186, 0.90672, 0.61121, 0.49872, 0.21065, 0.00097
4, 0.35425, 0.31932, 0.48583, -0.09666, 0.29782, 0.89872, 0.83731, 0.90443, 0.62081, 0.49986, 0.23490, 0.00096
5, 0.33446, 0.30213, 0.46364, -0.09685, 0.30283, 0.90382, 0.84431, 0.90271, 0.64105, 0.50348, 0.25018, 0.00095
6, 0.32318, 0.29212, 0.45125, -0.09702, 0.27361, 0.90685, 0.84854, 0.91212, 0.63071, 0.52545, 0.24622, 0.00095
7, 0.31265, 0.28367, 0.43881, -0.09718, 0.26637, 0.90912, 0.85204, 0.91402, 0.63105, 0.53290, 0.24074, 0.00094
8, 0.30207, 0.27414, 0.42729, -0.09729, 0.26345, 0.91180, 0.85602, 0.91528, 0.62679, 0.54282, 0.24099, 0.00093
9, 0.29376, 0.26832, 0.41658, -0.09738, 0.25919, 0.91352, 0.85885, 0.91574, 0.64723, 0.54722, 0.24679, 0.00092
10, 0.28759, 0.26219, 0.41043, -0.09744, 0.25094, 0.91527, 0.86130, 0.91884, 0.63473, 0.55786, 0.24209, 0.00091
11, 0.28130, 0.25713, 0.40300, -0.09752, 0.25628, 0.91704, 0.86377, 0.91752, 0.62472, 0.56169, 0.23029, 0.00090
12, 0.27344, 0.25107, 0.39340, -0.09759, 0.25332, 0.91859, 0.86668, 0.91761, 0.63086, 0.56614, 0.23534, 0.00089
13, 0.26908, 0.24748, 0.38830, -0.09763, 0.24252, 0.92003, 0.86845, 0.92061, 0.62642, 0.57690, 0.23273, 0.00088
14, 0.26515, 0.24379, 0.38417, -0.09766, 0.25070, 0.92086, 0.86990, 0.91826, 0.61993, 0.56779, 0.22734, 0.00087
15, 0.25932, 0.23936, 0.37699, -0.09771, 0.24090, 0.92220, 0.87198, 0.92105, 0.62882, 0.58463, 0.23943, 0.00086
16, 0.25424, 0.23596, 0.37029, -0.09777, 0.23667, 0.92328, 0.87419, 0.92297, 0.62368, 0.58601, 0.22654, 0.00085
17, 0.25006, 0.23171, 0.36620, -0.09779, 0.23973, 0.92451, 0.87553, 0.92161, 0.62311, 0.58863, 0.23145, 0.00085
18, 0.24556, 0.22929, 0.35965, -0.09783, 0.23302, 0.92509, 0.87796, 0.92393, 0.63166, 0.58719, 0.22934, 0.00084
19, 0.24152, 0.22620, 0.35472, -0.09788, 0.24188, 0.92601, 0.87938, 0.92071, 0.63570, 0.58411, 0.24250, 0.00083
20, 0.23959, 0.22509, 0.35196, -0.09786, 0.23370, 0.92625, 0.88023, 0.92378, 0.62068, 0.59516, 0.23607, 0.00082
21, 0.23550, 0.22177, 0.34714, -0.09793, 0.23948, 0.92735, 0.88203, 0.92164, 0.62424, 0.58621, 0.23689, 0.00081
22, 0.23203, 0.22004, 0.34197, -0.09796, 0.23810, 0.92782, 0.88340, 0.92251, 0.59494, 0.59202, 0.21549, 0.00080
23, 0.22844, 0.21578, 0.33906, -0.09796, 0.22908, 0.92901, 0.88455, 0.92455, 0.63926, 0.59886, 0.24525, 0.00079
24, 0.22839, 0.21603, 0.33872, -0.09797, 0.22650, 0.92927, 0.88477, 0.92534, 0.61717, 0.59542, 0.23804, 0.00078
25, 0.22432, 0.21349, 0.33316, -0.09801, 0.23063, 0.92988, 0.88669, 0.92485, 0.63943, 0.58877, 0.25134, 0.00077
26, 0.21962, 0.21003, 0.32727, -0.09807, 0.22200, 0.93098, 0.88852, 0.92730, 0.63470, 0.61024, 0.24249, 0.00076
27, 0.21944, 0.20937, 0.32757, -0.09807, 0.23057, 0.93109, 0.88869, 0.92457, 0.63855, 0.59926, 0.25234, 0.00075
28, 0.21704, 0.20821, 0.32398, -0.09811, 0.22573, 0.93138, 0.88995, 0.92538, 0.63450, 0.61362, 0.24081, 0.00074
29, 0.21323, 0.20573, 0.31884, -0.09812, 0.22979, 0.93201, 0.89131, 0.92462, 0.60396, 0.60929, 0.23945, 0.00073
30, 0.21263, 0.20482, 0.31854, -0.09810, 0.22296, 0.93233, 0.89170, 0.92657, 0.64218, 0.61060, 0.24210, 0.00073
31, 0.20973, 0.20342, 0.31416, -0.09812, 0.24348, 0.93278, 0.89276, 0.92086, 0.60514, 0.59401, 0.22670, 0.00072
32, 0.20756, 0.20181, 0.31145, -0.09815, 0.22090, 0.93324, 0.89393, 0.92700, 0.63726, 0.61725, 0.25117, 0.00071
33, 0.20587, 0.20069, 0.30922, -0.09817, 0.22685, 0.93356, 0.89498, 0.92530, 0.64624, 0.60429, 0.25548, 0.00070
34, 0.20383, 0.19899, 0.30685, -0.09818, 0.22028, 0.93420, 0.89563, 0.92762, 0.63901, 0.61711, 0.25596, 0.00069
35, 0.20120, 0.19711, 0.30348, -0.09820, 0.21865, 0.93469, 0.89684, 0.92785, 0.64704, 0.61539, 0.25279, 0.00068
